Analytical,RK2,LeapFrog,Boost-RKF,BOOST-Dopri5
2.06835e-22,2.06835e-22,2.06838e-22,2.30923e-22,-1.13622e-23
2.07335e-22,2.07336e-22,2.07339e-22,2.23584e-22,-2.51285e-23
2.07833e-22,2.07833e-22,2.07836e-22,2.14873e-22,-3.98184e-23
2.08327e-22,2.08327e-22,2.0833e-22,2.04842e-22,-5.56961e-23
2.08818e-22,2.08819e-22,2.08822e-22,1.93553e-22,-7.23925e-23
2.09307e-22,2.09307e-22,2.0931e-22,1.81075e-22,-8.9615e-23
2.09792e-22,2.09793e-22,2.09796e-22,1.67486e-22,-1.07105e-22
2.10275e-22,2.10275e-22,2.10278e-22,1.52868e-22,-1.24617e-22
2.10754e-22,2.10755e-22,2.10758e-22,1.37311e-22,-1.41913e-22
2.11231e-22,2.11231e-22,2.11234e-22,1.20911e-22,-1.58752e-22
2.11704e-22,2.11705e-22,2.11708e-22,1.03769e-22,-1.74402e-22
2.12175e-22,2.12175e-22,2.12178e-22,8.59892e-23,-1.89634e-22
2.12642e-22,2.12643e-22,2.12646e-22,6.76815e-23,-2.03253e-22
2.13107e-22,2.13107e-22,2.1311e-22,4.89581e-23,-2.15866e-22
2.13568e-22,2.13568e-22,2.13572e-22,2.99341e-23,-2.26721e-22
2.14026e-22,2.14027e-22,2.1403e-22,1.07263e-23,-2.35519e-22
2.14482e-22,2.14482e-22,2.14485e-22,-8.54738e-24,-2.41686e-22
2.14934e-22,2.14934e-22,2.14938e-22,-2.77686e-23,-2.45151e-22
2.15383e-22,2.15384e-22,2.15387e-22,-4.68193e-23,-2.45877e-22
2.1583e-22,2.1583e-22,2.15833e-22,-6.55824e-23,-2.43854e-22
2.16273e-22,2.16273e-22,2.16276e-22,-8.39428e-23,-2.39845e-22
2.16713e-22,2.16713e-22,2.16716e-22,-1.01788e-22,-2.33781e-22
2.1715e-22,2.1715e-22,2.17153e-22,-1.19008e-22,-2.25715e-22
2.17584e-22,2.17584e-22,2.17587e-22,-1.35497e-22,-2.15715e-22
2.18014e-22,2.18015e-22,2.18018e-22,-1.51154e-22,-2.03867e-22
2.18442e-22,2.18442e-22,2.18446e-22,-1.65882e-22,-1.90273e-22
2.18867e-22,2.18867e-22,2.1887e-22,-1.79593e-22,-1.75049e-22
