Analytical,RK2,LeapFrog
2.41604e-22,2.01788e-20,-2.16192e-22
2.03614e-22,-3.05185e-20,-3.91713e-22
4.67943e-23,-6.43694e-20,-3.26564e-22
-1.37335e-22,-5.57913e-20,-6.07716e-23
-2.41315e-22,-6.85989e-21,2.42359e-22
-2.04462e-22,5.15515e-20,3.96583e-22
-4.82844e-23,7.89367e-20,3.07144e-22
1.36073e-22,5.29577e-20,2.89944e-23
2.41017e-22,-1.30083e-20,-2.6697e-22
2.05303e-22,-7.59798e-20,-3.98906e-22
4.97727e-23,-9.10412e-20,-2.85752e-22
-1.34805e-22,-4.2996e-20,2.96887e-24
-2.4071e-22,4.00581e-20,2.89866e-22
-2.06135e-22,1.02558e-19,3.98668e-22
-5.1259e-23,9.82652e-20,2.62526e-22
1.33532e-22,2.39191e-20,-3.49131e-23
2.40393e-22,-7.43967e-20,-3.10902e-22
2.0696e-22,-1.2926e-19,-3.95871e-22
5.27434e-23,-9.76843e-20,-2.37614e-22
-1.32254e-22,6.10796e-21,6.66332e-23
-2.40068e-22,1.15366e-19,3.29941e-22
-2.07776e-22,1.53167e-19,3.90531e-22
-5.42258e-23,8.59729e-20,2.11177e-22
1.30971e-22,-4.84978e-20,-9.79255e-23
2.39733e-22,-1.61285e-19,-3.46862e-22
2.08585e-22,-1.70401e-19,-3.82685e-22
5.57062e-23,-5.96004e-20,-1.83384e-22
-1.29683e-22,1.039e-19,1.28589e-22
-2.39389e-22,2.09188e-19,3.61556e-22
-2.09386e-22,1.76145e-19,3.72381e-22
-5.71844e-23,1.51352e-20,1.54413e-22
1.2839e-22,-1.71797e-19,-1.58427e-22
2.39036e-22,-2.54604e-19,-3.73929e-22
2.10179e-22,-1.64769e-19,-3.59687e-22
5.86604e-23,5.03298e-20,-1.24451e-22
-1.27092e-22,2.50055e-19,1.87248e-22
-2.38673e-22,2.91395e-19,3.83901e-22
-2.10963e-22,1.30102e-19,3.44683e-22
-6.01342e-23,-1.38626e-19,9.36904e-23
1.2579e-22,-3.34461e-19,-2.14866e-22
2.38302e-22,-3.11718e-19,-3.91408e-22
2.1174e-22,-6.58895e-20,-3.27467e-22
6.16057e-23,2.49839e-19,-6.23278e-23
-1.24482e-22,4.18284e-19,2.41106e-22
-2.37922e-22,3.06154e-19,3.96402e-22
